Country,Flag,Capital,Population_2024,GDP_USD_Billions,Area_km2,Official_Language,Region
Dominica,🇩🇲,Roseau,72737,0.6,751,English,Americas
Dominican Republic,🇩🇴,Santo Domingo,11332972,113.0,48671,Spanish,Americas
East Timor,🇹🇱,Dili,1360596,1.6,14874,Portuguese,Asia
Ecuador,🇪🇨,Quito,18190484,115.0,283561,Spanish,Americas
Egypt,🇪🇬,Cairo,112716598,469.1,1001449,Arabic,Africa
El Salvador,🇸🇻,San Salvador,6364943,32.4,21041,Spanish,Americas
Equatorial Guinea,🇬🇶,Malabo,1714671,11.0,28051,Spanish,Africa
Eritrea,🇪🇷,Asmara,3748901,2.1,117600,Tigrinya,Africa
Estonia,🇪🇪,Tallinn,1395973,38.1,45227,Estonian,Europe
Eswatini,🇸🇿,Mbabane,1210822,4.7,17364,English,Africa
Ethiopia,🇪🇹,Addis Ababa,126527060,126.8,1104300,Amharic,Africa
Fiji,🇫🇯,Suva,936375,5.5,18272,English,Oceania
Finland,🇫🇮,Helsinki,5545475,297.3,338424,Finnish,Europe
France,🇫🇷,Paris,68521974,2940.7,551695,French,Europe
Gabon,🇬🇦,Libreville,2436566,20.2,267668,French,Africa
Gambia,🇬🇲,Banjul,2705992,2.0,11295,English,Africa
Georgia,🇬🇪,Tbilisi,3744385,24.6,69700,Georgian,Asia
Germany,🇩🇪,Berlin,84552242,4259.9,357022,German,Europe
Ghana,🇬🇭,Accra,34121985,76.6,238533,English,Africa
Greece,🇬🇷,Athens,10413982,219.1,131957,Greek,Europe
Grenada,🇬🇩,Saint George's,125438,1.2,344,English,Americas
Guatemala,🇬🇹,Guatemala City,18092026,85.3,108889,Spanish,Americas
Guinea,🇬🇳,Conakry,14190612,19.2,245857,French,Africa
Guinea-Bissau,🇬🇼,Bissau,2150842,1.6,36125,Portuguese,Africa
Guyana,🇬🇾,Georgetown,813834,13.9,214969,English,Americas
Haiti,🇭🇹,Port-au-Prince,11724763,20.9,27750,French,Americas
Honduras,🇭🇳,Tegucigalpa,10593798,28.5,112492,Spanish,Americas
Hungary,🇭🇺,Budapest,9676135,181.8,93028,Hungarian,Europe
Iceland,🇮🇸,Reykjavík,375318,28.8,103000,Icelandic,Europe
India,🇮🇳,New Delhi,1428627663,3737.9,3287263,Hindi,Asia
Indonesia,🇮🇩,Jakarta,277534122,1417.4,1904569,Indonesian,Asia
Iran,🇮🇷,Tehran,89172767,413.5,1648195,Persian,Asia
Iraq,🇮🇶,Baghdad,46042015,264.2,438317,Arabic,Asia
Ireland,🇮🇪,Dublin,5255017,504.2,70273,Irish,Europe
Italy,🇮🇹,Rome,58870762,2107.7,301340,Italian,Europe
Ivory Coast,🇨🇮,Yamoussoukro,28873034,70.0,322463,French,Africa
Jamaica,🇯🇲,Kingston,2825544,17.9,10991,English,Americas
Japan,🇯🇵,Tokyo,123294513,4940.9,377930,Japanese,Asia
Jordan,🇯🇴,Amman,11337052,48.7,89342,Arabic,Asia
Kazakhstan,🇰🇿,Nur-Sultan,20592571,220.6,2724900,Kazakh,Asia
Kenya,🇰🇪,Nairobi,55100586,113.4,580367,English,Africa
Kiribati,🇰🇮,Tarawa,133515,0.2,811,English,Oceania
Kuwait,🇰🇼,Kuwait City,4310108,142.6,17818,Arabic,Asia
Kyrgyzstan,🇰🇬,Bishkek,7100000,10.9,199951,Kyrgyz,Asia
Laos,🇱🇦,Vientiane,7633779,19.1,236800,Lao,Asia
Latvia,🇱🇻,Riga,1830211,40.9,64559,Latvian,Europe
Lebanon,🇱🇧,Beirut,5489739,23.1,10452,Arabic,Asia
Lesotho,🇱🇸,Maseru,2330318,2.5,30355,English,Africa
Liberia,🇱🇷,Monrovia,5302681,4.0,111369,English,Africa
Libya,🇱🇾,Tripoli,6888388,52.1,1759540,Arabic,Africa
Liechtenstein,🇱🇮,Vaduz,39584,6.5,160,German,Europe
Lithuania,🇱🇹,Vilnius,2718352,71.2,65300,Lithuanian,Europe
Luxembourg,🇱🇺,Luxembourg,654768,86.7,2586,Luxembourgish,Europe
Madagascar,🇲🇬,Antananarivo,30325732,15.2,587041,Malagasy,Africa
Malawi,🇲🇼,Lilongwe,20931751,13.2,118484,English,Africa
Malaysia,🇲🇾,Kuala Lumpur,34308525,432.3,329847,Malay,Asia
Maldives,🇲🇻,Malé,521021,6.2,298,Dhivehi,Asia
Mali,🇲🇱,Bamako,23293698,19.1,1240192,French,Africa
Malta,🇲🇹,Valletta,535064,17.3,316,Maltese,Europe
Marshall Islands,🇲🇭,Majuro,42050,0.3,181,English,Oceania
Mauritania,🇲🇷,Nouakchott,4862989,9.8,1030700,Arabic,Africa
Mauritius,🇲🇺,Port Louis,1300557,15.0,2040,English,Africa
Mexico,🇲🇽,Mexico City,128455567,1688.9,1964375,Spanish,Americas
Micronesia,🇫🇲,Palikir,115021,0.4,702,English,Oceania
Moldova,🇲🇩,Chișinău,2512758,14.9,33846,Romanian,Europe
Monaco,🇲🇨,Monaco,36686,7.7,2,French,Europe
Mongolia,🇲🇳,Ulaanbaatar,3447157,15.1,1564110,Mongolian,Asia
Montenegro,🇲🇪,Podgorica,626485,6.0,13812,Montenegrin,Europe
Morocco,🇲🇦,Rabat,37840044,134.2,446550,Arabic,Africa
Mozambique,🇲🇿,Maputo,33897354,16.8,801590,Portuguese,Africa
Myanmar,🇲🇲,Naypyidaw,55770232,76.1,676578,Burmese,Asia
Namibia,🇳🇦,Windhoek,2604172,14.5,824292,English,Africa
Nauru,🇳🇷,Yaren,12780,0.1,21,Nauruan,Oceania
Nepal,🇳🇵,Kathmandu,30896590,40.9,147181,Nepali,Asia
Netherlands,🇳🇱,Amsterdam,17564014,909.9,41850,Dutch,Europe
New Zealand,🇳🇿,Wellington,5228100,249.9,268021,English,Oceania
Nicaragua,🇳🇮,Managua,7046310,15.8,130373,Spanish,Americas
Niger,🇳🇪,Niamey,27202843,16.6,1267000,French,Africa
Nigeria,🇳🇬,Abuja,223804632,440.8,923768,English,Africa
North Korea,🇰🇵,Pyongyang,26160821,28.5,120538,Korean,Asia
North Macedonia,🇲🇰,Skopje,2085679,13.8,25713,Macedonian,Europe
Norway,🇳🇴,Oslo,5474360,482.2,323802,Norwegian,Europe
Oman,🇴🇲,Muscat,4644384,84.2,309500,Arabic,Asia
Pakistan,🇵🇰,Islamabad,240485658,374.9,796095,Urdu,Asia
Palau,🇵🇼,Ngerulmud,18174,0.3,459,Palauan,Oceania
Palestine,🇵🇸,Ramallah,5371230,18.1,6020,Arabic,Asia
Panama,🇵🇦,Panama City,4468087,75.5,75417,Spanish,Americas
Papua New Guinea,🇵🇬,Port Moresby,10329931,26.6,462840,English,Oceania
Paraguay,🇵🇾,Asunción,6780744,41.7,406752,Spanish,Americas
Peru,🇵🇪,Lima,33715471,242.6,1285216,Spanish,Americas
Philippines,🇵🇭,Manila,117337368,394.1,300000,Filipino,Asia
Poland,🇵🇱,Warsaw,37654247,679.4,312696,Polish,Europe
Portugal,🇵🇹,Lisbon,10247605,253.7,92090,Portuguese,Europe
Qatar,🇶🇦,Doha,2695122,236.0,11586,Arabic,Asia
Romania,🇷🇴,Bucharest,18326327,284.1,238391,Romanian,Europe
Russia,🇷🇺,Moscow,144444359,2063.7,17098242,Russian,Europe
Rwanda,🇷🇼,Kigali,14094683,11.1,26338,Kinyarwanda,Africa
Saint Kitts and Nevis,🇰🇳,Basseterre,47755,1.0,261,English,Americas
Saint Lucia,🇱🇨,Castries,180251,2.1,539,English,Americas
Saint Vincent and the Grenadines,🇻🇨,Kingstown,103698,0.9,389,English,Americas
Samoa,🇼🇸,Apia,225681,0.9,2831,Samoan,Oceania
San Marino,🇸🇲,San Marino,33642,1.9,61,Italian,Europe
São Tomé and Príncipe,🇸🇹,São Tomé,231856,0.5,964,Portuguese,Africa
Saudi Arabia,🇸🇦,Riyadh,36947025,833.5,2149690,Arabic,Asia
Senegal,🇸🇳,Dakar,18501984,27.6,196722,French,Africa
Serbia,🇷🇸,Belgrade,6664449,63.1,77474,Serbian,Europe
Seychelles,🇸🇨,Victoria,107660,1.7,455,English,Africa
Sierra Leone,🇸🇱,Freetown,8791092,4.1,71740,English,Africa
Singapore,🇸🇬,Singapore,6014723,397.0,719,English,Asia
Slovakia,🇸🇰,Bratislava,5795199,115.2,49035,Slovak,Europe
Slovenia,🇸🇮,Ljubljana,2119675,61.8,20273,Slovene,Europe
Solomon Islands,🇸🇧,Honiara,740424,1.7,28896,English,Oceania
Somalia,🇸🇴,Mogadishu,18143378,7.4,637657,Somali,Africa
South Africa,🇿🇦,Cape Town,60414495,419.0,1221037,Afrikaans,Africa
South Korea,🇰🇷,Seoul,51784059,1810.0,100210,Korean,Asia
South Sudan,🇸🇸,Juba,11088796,5.2,644329,English,Africa
Spain,🇪🇸,Madrid,47519628,1397.5,505992,Spanish,Europe
Sri Lanka,🇱🇰,Colombo,23103565,84.0,65610,Sinhala,Asia
Sudan,🇸🇩,Khartoum,48109006,34.3,1861484,Arabic,Africa
Suriname,🇸🇷,Paramaribo,618040,4.1,163820,Dutch,Americas
Sweden,🇸🇪,Stockholm,10612086,635.7,450295,Swedish,Europe
Switzerland,🇨🇭,Bern,8796669,807.7,41285,German,Europe
Syria,🇸🇾,Damascus,23227014,22.2,185180,Arabic,Asia
Taiwan,🇹🇼,Taipei,23923276,790.7,36193,Mandarin,Asia
Tajikistan,🇹🇯,Dushanbe,10143543,10.5,143100,Tajik,Asia
Tanzania,🇹🇿,Dodoma,67438106,75.7,947300,Swahili,Africa
Thailand,🇹🇭,Bangkok,71801279,534.8,513120,Thai,Asia
Togo,🇹🇬,Lomé,8848699,8.1,56785,French,Africa
Tonga,🇹🇴,Nuku'alofa,107773,0.5,747,Tongan,Oceania
Trinidad and Tobago,🇹🇹,Port of Spain,1534937,24.1,5128,English,Americas
Tunisia,🇹🇳,Tunis,12458223,46.7,163610,Arabic,Africa
Turkey,🇹🇷,Ankara,85326000,819.0,783562,Turkish,Asia
Turkmenistan,🇹🇲,Ashgabat,6201943,57.1,488100,Turkmen,Asia
Tuvalu,🇹🇻,Funafuti,11396,0.1,26,Tuvaluan,Oceania
Uganda,🇺🇬,Kampala,48582334,48.0,241550,English,Africa
Ukraine,🇺🇦,Kyiv,37860221,200.1,603550,Ukrainian,Europe
United Arab Emirates,🇦🇪,Abu Dhabi,9516871,507.5,83600,Arabic,Asia
United Kingdom,🇬🇧,London,67791400,3131.4,243610,English,Europe
United States,🇺🇸,Washington D.C.,341814420,26854.6,9833517,English,Americas
Uruguay,🇺🇾,Montevideo,3423108,71.2,176215,Spanish,Americas
Uzbekistan,🇺🇿,Tashkent,35163944,80.4,447400,Uzbek,Asia
Vanuatu,🇻🇺,Port Vila,334506,1.0,12189,Bislama,Oceania
Vatican City,🇻🇦,Vatican City,825,0.4,0,Italian,Europe
Venezuela,🇻🇪,Caracas,28838499,482.4,912050,Spanish,Americas
Vietnam,🇻🇳,Hanoi,98858950,408.8,331212,Vietnamese,Asia
Yemen,🇾🇪,Sana'a,34449825,21.6,527968,Arabic,Asia
Zambia,🇿🇲,Lusaka,20017675,26.7,752612,English,Africa
Zimbabwe,🇿🇼,Harare,16665409,28.4,390757,English,Africa
